pl_hostname,pl_rade,pl_eqt
EPIC 220674823,1.820,2119
EPIC 220674823,2.730,741
HD 106315,2.320,1046
HD 106315,4.310,804
HAT-P-67,23.371,1903
K2-111,1.900,1309
K2-114,10.670,661
K2-115,12.060,619
CoRoTID 223977153,6.389,938
K2-241,2.550,507
K2-242,2.540,416
K2-158,1.280,948
K2-243,2.170,1035
K2-243,2.010,801
K2-244,1.750,638
K2-245,4.340,923
K2-246,3.490,977
K2-247,2.120,979
K2-247,2.190,688
K2-224,2.410,764
K2-248,2.570,886
K2-249,2.790,1061
K2-250,2.440,958
K2-251,2.350,437
K2-252,1.740,639
K2-253,12.670,1238
K2-254,1.630,791
HATS-31,18.383,1823
HATS-32,14.000,1437
HATS-33,13.787,1429
HATS-34,16.029,1445
HATS-35,16.410,2037
WASP-127,15.356,1400
WASP-136,15.468,1742
WASP-138,12.218,1590
Qatar-3,12.285,1681
Qatar-4,12.722,1385
Qatar-5,12.408,1415
KELT-18,17.598,2085
K2-187,3.170,865
K2-187,2.380,698
K2-188,1.350,1692
K2-188,2.830,1026
K2-189,2.500,872
K2-189,1.520,1197
K2-192,1.520,939
K2-193,3.950,739
K2-195,3.130,720
K2-197,2.560,848
K2-199,1.870,861
K2-199,2.780,653
K2-237,18.405,1838
K2-238,14.572,1587
K2-260,17.396,1957
K2-261,9.528,1080
K2-268,1.410,1121
K2-268,2.690,688
K2-269,1.570,1429
K2-270,1.380,1203
K2-270,2.950,848
K2-271,7.280,893
K2-272,2.910,655
K2-273,4.420,672
K2-274,2.200,589
K2-275,2.240,905
K2-275,2.340,660
K2-276,3.770,583
K2-277,2.070,958
K2-278,2.980,1711
K2-279,1.210,879
K2-254,2.190,551
K2-255,2.900,1034
K2-256,2.630,845
K2-257,0.830,789
K2-258,3.000,831
K2-259,2.320,795
Wolf 503,2.030,805
Kepler-1656,5.020,651
WASP-144,9.528,1260
WASP-145 A,10.088,1200
WASP-158,11.994,1590
WASP-159,15.468,1850
WASP-162,11.209,910
WASP-168,16.814,1340
WASP-172,17.598,1740
WASP-173 A,13.451,1880
